"Date","Price","Open","High","Low","Change %"
"Jan 13, 2021","141.78","141.80","141.83","141.74","-0.01%"
"Jan 12, 2021","141.79","140.84","142.04","140.75","0.64%"
"Jan 11, 2021","140.90","140.93","141.07","140.32","-0.04%"
"Jan 08, 2021","140.96","140.79","141.41","140.73","0.13%"
"Jan 07, 2021","140.78","140.24","141.02","140.10","0.41%"
"Jan 06, 2021","140.21","139.96","140.60","139.77","0.22%"
"Jan 05, 2021","139.90","139.96","140.18","139.50","0.00%"
"Jan 04, 2021","139.90","141.04","141.34","139.68","-0.84%"
"Jan 01, 2021","141.08","141.18","141.22","141.11","-0.06%"
"Dec 31, 2020","141.16","140.59","141.26","140.35","0.44%"
"Dec 30, 2020","140.54","139.85","140.68","139.70","0.52%"
"Dec 29, 2020","139.81","139.60","140.15","139.50","0.17%"
"Dec 28, 2020","139.57","140.20","140.60","139.46","-0.44%"
"Dec 25, 2020","140.19","140.46","140.86","140.13","-0.16%"
"Dec 24, 2020","140.41","139.76","141.24","139.65","0.50%"
"Dec 23, 2020","139.71","138.49","140.37","138.37","0.91%"
"Dec 22, 2020","138.45","139.13","139.19","137.99","-0.45%"
"Dec 21, 2020","139.07","139.21","139.52","136.96","-0.44%"
"Dec 18, 2020","139.68","140.09","140.34","139.29","-0.25%"
"Dec 17, 2020","140.03","139.81","140.46","139.55","0.18%"
"Dec 16, 2020","139.78","139.57","140.10","139.13","0.17%"
"Dec 15, 2020","139.54","138.63","139.64","138.27","0.69%"
"Dec 14, 2020","138.59","138.14","139.45","138.07","0.77%"
"Dec 11, 2020","137.53","138.54","138.79","136.77","-0.71%"
"Dec 10, 2020","138.51","139.65","139.83","138.38","-0.78%"
"Dec 09, 2020","139.60","139.11","140.35","139.05","0.38%"
"Dec 08, 2020","139.07","139.21","139.39","138.40","-0.06%"
"Dec 07, 2020","139.16","140.04","140.05","137.88","-0.55%"
"Dec 04, 2020","139.93","139.62","140.74","139.44","0.24%"
"Dec 03, 2020","139.59","139.55","140.32","139.43","0.06%"
"Dec 02, 2020","139.51","139.96","140.47","138.88","-0.29%"
"Dec 01, 2020","139.92","138.98","140.33","138.93","0.73%"
"Nov 30, 2020","138.90","138.54","139.52","138.40","0.22%"
"Nov 27, 2020","138.60","139.26","139.34","138.27","-0.45%"
"Nov 26, 2020","139.23","139.81","139.87","138.91","-0.39%"
"Nov 25, 2020","139.77","139.55","139.88","138.99","0.17%"
"Nov 24, 2020","139.53","139.32","139.90","139.11","0.18%"
"Nov 23, 2020","139.28","137.90","139.36","137.82","0.98%"
"Nov 20, 2020","137.93","137.57","138.09","137.41","0.28%"
"Nov 19, 2020","137.54","137.78","138.02","137.16","-0.17%"
"Nov 18, 2020","137.77","138.03","138.24","137.68","-0.12%"
"Nov 17, 2020","137.93","138.00","138.38","137.79","0.00%"
"Nov 16, 2020","137.93","137.88","138.91","137.65","-0.01%"
"Nov 13, 2020","137.95","137.90","138.54","137.53","0.06%"
"Nov 12, 2020","137.87","139.40","139.48","137.74","-1.08%"
"Nov 11, 2020","139.38","139.74","140.29","139.19","-0.22%"
"Nov 10, 2020","139.69","138.70","139.80","138.15","0.74%"
"Nov 09, 2020","138.67","136.02","138.93","135.73","2.01%"
"Nov 06, 2020","135.94","136.06","136.27","135.46","-0.07%"
"Nov 05, 2020","136.03","135.76","136.32","135.05","0.26%"
"Nov 04, 2020","135.68","136.45","137.40","135.37","-0.53%"
"Nov 03, 2020","136.40","135.29","136.71","135.15","0.87%"
"Nov 02, 2020","135.23","135.49","135.57","134.87","-0.13%"
"Oct 30, 2020","135.41","135.26","135.83","134.39","0.14%"
"Oct 29, 2020","135.22","135.49","135.99","134.63","-0.16%"
"Oct 28, 2020","135.43","136.21","136.32","134.87","-0.54%"
"Oct 27, 2020","136.17","136.54","136.62","136.13","-0.26%"
"Oct 26, 2020","136.52","136.67","137.09","136.29","0.00%"
"Oct 23, 2020","136.52","137.16","137.36","136.35","-0.44%"
"Oct 22, 2020","137.12","137.54","137.63","136.96","-0.28%"
"Oct 21, 2020","137.50","136.56","137.69","136.45","0.70%"
"Oct 20, 2020","136.54","136.53","137.05","136.32","0.04%"
"Oct 19, 2020","136.49","136.20","137.28","135.84","0.29%"
"Oct 16, 2020","136.10","136.21","136.44","135.40","-0.05%"
"Oct 15, 2020","136.17","136.82","137.19","135.75","-0.47%"
"Oct 14, 2020","136.81","136.46","137.35","135.65","0.30%"
"Oct 13, 2020","136.40","137.62","137.81","136.37","-0.83%"
"Oct 12, 2020","137.54","137.93","138.10","137.21","-0.15%"
"Oct 09, 2020","137.75","137.15","137.86","136.76","0.47%"
"Oct 08, 2020","137.10","136.91","137.43","136.67","0.16%"
"Oct 07, 2020","136.88","136.05","137.02","135.85","0.64%"
"Oct 06, 2020","136.01","137.24","137.47","135.94","-0.86%"
"Oct 05, 2020","137.19","136.23","137.37","136.04","0.71%"
"Oct 02, 2020","136.22","136.04","136.43","135.03","0.18%"
"Oct 01, 2020","135.98","136.26","137.04","135.34","-0.14%"
"Sep 30, 2020","136.17","135.90","136.57","135.18","0.23%"
"Sep 29, 2020","135.86","135.37","136.27","135.36","0.35%"
"Sep 28, 2020","135.38","134.63","136.21","134.35","0.59%"
"Sep 25, 2020","134.59","134.45","134.86","133.82","0.16%"
"Sep 24, 2020","134.37","134.09","134.68","133.60","0.24%"
"Sep 23, 2020","134.05","133.62","134.64","133.11","0.36%"
"Sep 22, 2020","133.57","134.12","134.40","133.05","-0.39%"
"Sep 21, 2020","134.09","135.13","135.35","133.54","-0.70%"
"Sep 18, 2020","135.03","135.88","136.18","134.94","-0.60%"
"Sep 17, 2020","135.85","136.09","136.24","134.57","-0.15%"
"Sep 16, 2020","136.05","135.90","136.50","135.55","0.17%"
"Sep 15, 2020","135.82","135.83","136.46","135.41","0.01%"
"Sep 14, 2020","135.80","135.85","136.62","135.57","-0.01%"
"Sep 11, 2020","135.81","135.85","136.62","135.57","-0.05%"
"Sep 10, 2020","135.88","138.07","138.38","135.57","-1.55%"
"Sep 09, 2020","138.02","137.65","138.38","136.73","0.30%"
"Sep 08, 2020","137.61","139.95","140.09","137.61","-1.63%"
"Sep 07, 2020","139.89","141.03","141.16","139.59","-0.85%"
"Sep 04, 2020","141.09","141.04","141.45","140.11","0.07%"
"Sep 03, 2020","140.99","141.79","141.89","140.46","-0.53%"
"Sep 02, 2020","141.74","141.80","141.99","141.00","-0.01%"
"Sep 01, 2020","141.76","141.56","142.74","141.31","0.14%"
"Aug 31, 2020","141.56","140.66","142.05","140.49","0.67%"
"Aug 28, 2020","140.62","140.68","141.65","140.00","-0.01%"
"Aug 27, 2020","140.64","139.99","140.89","139.68","0.47%"
"Aug 26, 2020","139.98","139.93","140.34","139.62","0.06%"
"Aug 25, 2020","139.89","138.46","140.05","138.35","1.05%"
"Aug 24, 2020","138.43","138.48","139.03","138.28","0.00%"
"Aug 21, 2020","138.43","139.79","139.98","138.24","-0.96%"
"Aug 20, 2020","139.77","139.01","139.89","138.54","0.58%"
"Aug 19, 2020","138.97","139.59","139.98","138.78","-0.39%"
"Aug 18, 2020","139.52","138.86","139.67","138.60","0.47%"
"Aug 17, 2020","138.87","139.54","139.80","138.71","-0.42%"
"Aug 14, 2020","139.46","139.66","140.04","139.32","-0.15%"
"Aug 13, 2020","139.67","139.35","140.24","139.23","0.27%"
"Aug 12, 2020","139.30","139.01","139.65","138.86","0.26%"
"Aug 11, 2020","138.94","138.51","139.54","138.38","0.33%"
"Aug 10, 2020","138.48","138.15","138.68","138.09","0.16%"
"Aug 07, 2020","138.26","138.82","138.83","137.84","-0.38%"
"Aug 06, 2020","138.79","138.46","139.26","138.41","0.23%"
"Aug 05, 2020","138.47","138.18","139.04","138.02","0.21%"
"Aug 04, 2020","138.18","138.53","138.90","137.79","-0.25%"
"Aug 03, 2020","138.53","138.52","139.04","137.73","0.00%"
"Jul 31, 2020","138.52","137.11","139.24","136.77","1.00%"
"Jul 30, 2020","137.15","136.35","137.41","136.06","0.58%"
"Jul 29, 2020","136.35","135.90","136.50","135.66","0.33%"
"Jul 28, 2020","135.91","135.75","136.15","135.32","0.12%"
"Jul 27, 2020","135.75","135.70","135.96","135.14","-0.02%"
"Jul 24, 2020","135.78","136.16","136.23","134.98","-0.28%"
"Jul 23, 2020","136.16","136.45","136.65","135.84","-0.21%"
"Jul 22, 2020","136.45","135.98","136.64","135.26","0.35%"
"Jul 21, 2020","135.96","135.81","136.47","135.69","0.11%"
"Jul 20, 2020","135.81","134.53","135.93","134.34","0.99%"
"Jul 17, 2020","134.48","134.63","134.93","134.10","-0.12%"
"Jul 16, 2020","134.63","134.54","135.20","134.04","0.07%"
"Jul 15, 2020","134.53","134.62","135.12","134.45","-0.06%"
"Jul 14, 2020","134.60","134.72","134.85","133.96","-0.09%"
"Jul 13, 2020","134.72","134.93","135.51","134.58","-0.16%"
"Jul 10, 2020","134.94","135.13","135.24","134.27","-0.15%"
"Jul 09, 2020","135.14","135.26","135.95","135.04","-0.10%"
"Jul 08, 2020","135.27","134.85","135.45","134.57","0.31%"
"Jul 07, 2020","134.85","134.10","135.43","134.03","0.55%"
"Jul 06, 2020","134.12","134.30","134.70","133.93","-0.08%"
"Jul 03, 2020","134.23","134.02","134.32","133.69","0.15%"
"Jul 02, 2020","134.02","134.08","134.73","133.77","-0.03%"
